FILE NAME,UUID,Omnia UUID,Talk Title,Description,SP1,SP2,SP3,MOD
E26.2_WS20_710234860_TLK_EDT_V2_FIN,710234860,3588729c-844a-4b07-81e1-7de0f77b5c56,Baobab Studios: The making of Baba Yaga,"Six-time Emmy Award-winning interactive animation studio Baobab Studios is back with a new release for 2020. Baba Yaga will feature the voices of Kate Winslet, Daisy Ridley and Glenn Close. In this talk, hear from co-founder and CEO Maureen Fan as she discusses how they brought this VR and interactive animation experience to life. ",Maureen Fan,,,
D22.2_WS20_710234868_TLK_EDT_V2_FIN,710234868,2b6beb49-8e25-43c3-9faa-7c7259553734,In conversation with Bobby Berk,"Bobby Berk rose to fame as the design expert in Netflix's Emmy-winning Queer Eye. He will discuss balancing life in the public eye while growing his lifestyle and design brand, using your platform for activism, and how Covid has impacted design in our homes.",Bobby Berk,,,Elizabeth Wagmeister
B14.2_WS20_710234897_TLK_EDT_V2_FIN,710234897,35def57b-6fa4-49a8-b2f6-206a9a778eb1,From gaming to mainstream,"Five short years ago, Discord started as a better way to talk with friends while playing online games. Today, more than 100 million people from sneakerheads to teachers turn to Discord to talk with their communities and friends. The transformation from a singular use-case to a new identity as a broader communications service has come with the challenges of keeping Discord safe. Jason talks transformation and tells us what's next.",Jason Citron,,,Ina Fried
D4.2_WS20_710234910_TLK_EDT_V1_FIN,710234910,5638e8bf-f28d-485b-b409-593e6a700d2c,Transform your business with workspace design,"In the current environment, when change is the only constant, companies must rely on their brand purpose to inform decision-making, inspire change, and successfully navigate the turbulence. It is also vital in guiding employees, helping them work differently, changing behaviours, and embracing new states of normal. But even the best companies can overlook one of their most powerful transformational tools: the workplace. 

Join Jane Geraghty, CEO of LANDOR & FITCH, to explore the six imperatives of workspace design: culture, interaction, function, sustainability, space and technology.",Jane Geraghty,,,
B24.2_WS20_710234926_TLK_EDT_V2_FIN,710234926,c9ac52d4-57ce-452a-b24c-d2d5f497dc98,Has social media found its soul?,"Social media really came into its own this year, providing us all with some much-needed positivity and connectivity, and – for those on the margins of society – support. In this talk, hear from Tumblr CEO Jeff D'Onofrio a he discusses how 2020 has focused our minds into building and serving online communities, and how a tough year changed our social media landscape for the better. ",Jeff D'Onofrio,,,Alyssa Newcomb
B19.2_WS20_710234949_TLK_EDT_V4_FIN,710234949,3ea45e6f-8b1f-4f16-88cc-9bde39a1acc6,More than a voice: Yeardley Smith as Lisa Simpson,"Yeardley is best known for her role as Lisa Simpson on animated TV series The Simpsons. More recently, she has released a true crime podcast – Small Town Dicks – and founded Paperclip, a company that fosters distinctive ideas from creators in entertainment, no matter what the medium.",Yeardley Smith,,,Simone Boyce
D15.2_WS20_710234950_TLK_EDT_V2_FIN,710234950,fde77798-bbb0-48a3-b5ad-9de70240ca1c,Design-driven innovation in a post-Covid age,"The chief design officer of global beverage and food giant PepsiCo, Mauro Porcini, discusses the value of design thinking in a post-Covid world, and what you need to do to avoid being overtaken by a 'disrupter'.",Mauro Porcini,,,
D9.2_WS20_710234971_TLK_EDT_V2_FIN,710234971,56af640f-d7e6-4d4a-a823-eaab2ef3043d,Opening Saturday Night Live,"Acclaimed Pentagram designer Emily Oberman has been creating the opening title sequence for Saturday Night Live for 25 years. She takes us through the development of working with a world-famous TV show for a quarter of a century, and why designing the titles for the new 46th season was the most challenging experience yet.",Emily Oberman,,,
B29.2_WS20_710234977_TLK_EDT_V2_FIN,710234977,688ed795-4a14-40bb-8b46-304e1b46f5ed,Have we got news for you,"This talk will examine the fiercely competitive business of delivering news in 2020. Michael Peters and Justin Smith, the CEOs of Euronews and Bloomberg Media, will cover topics including strategy, expansion, investment and technological innovation within the news industry, and discuss what is needed to not just survive, but thrive.",Michael Peters,Justin Smith,,Leisha Chi-Santorelli
B38.2_WS20_710235034_TLK_V5_FIN,710235034,1a632d01-1375-4a47-af42-eb5e8ced59f9,Spotify and Liam Payne: Best talk ever,"Join popstar and One Directioner Liam Payne and Spotify's head of music, Marian Dicus, as they discuss music creation and distribution in 2020. How are the role and expectations of the artist evolving? What has been the effect on the music industry – and what will be the lasting legacy – of a year like no other?",Liam Payne,Marian Dicus,,Zack O'Malley Greenburg
