,Date,Time,Activation,Q&A?,Pre-event tech check complete?,Partner,Title,Description,PS Manager,Moderator,Responsible for Screen Recording,Any technical issues?,Detail/ Comments,Reschedule required?,Reschedule status,Rescheduled Date,Rescheduled Time,Screen record UUID,Screen records link,Vimeo Link,Room Access Link,UUID_extracted
0,"Wednesday, December 2",1pm - 1.30pm,Live Masterclass,True,False,EPFL,Preserving privacy with digital contact-tracing apps,"The DP3T consortium discusses its privacy-preserving digital contact-tracing system, which was introduced in Apple and Google’s operating systems and is available on billions of cell phones worldwide.",Rebecca C,Rebecca C,Micky,,,,,,,WS20_2_779548529_PTH_MTC,Hyperlink to Aaron folder,,,779548529
1,"Wednesday, December 2",1pm - 1.30pm,Live Masterclass,True,False,ProChile,Scaling from emerging markets: The case of Chile,"This session looks at the global challenges and opportunities facing innovative companies from emerging markets. Through the experience of innovative Chilean companies with a presence in various markets, we will address the opportunities, challenges and considerations that entrepreneurs must have when scaling solutions from emerging markets to highly competitive regions.",Allison,Gary,Ciara,,,,,,,WS20_81_780050485_PTH_MTC,Hyperlink to Aaron folder,,,780050485
2,"Wednesday, December 2",1pm - 1.30pm,Live Masterclass,False,False,Snowflake,,,Allison,Allison,Mirella,,,,,,,WS20_135_858027876_PTH_MTC,Hyperlink to Aaron folder,,,858027876
3,"Wednesday, December 2",1pm- 1.45pm,GA RT,,,AppLovin,The best practices for improving your app economy,"What’s an app economy, and how do you monetise something that’s essentially free? Join AppLovin for a discussion that takes a closer look at strategies and best practices for monetising your app.",Aaron,Nas,,,,,,,,,,,,
4,"Wednesday, December 2",1pm- 1.45pm,GA RT,,,Radar Payments,How to successfully launch acquiring services,"Acquiring services from ATMs, POSs or multiple wallets can be successfully launched if a customer finds your brand trustworthy. Success hinges on making the shift to becoming a tech-focused partner.",Gary,Michael,,,,,,,,,,,,
5,"Wednesday, December 2",1pm- 1.45pm,Targeted RT,,,Lisbon Mayor's Office,Why is everyone choosing to work from Lisbon?,"Explore how Lisbon has become a digital nomad hub and tech startup hub in recent years. Hear about it from different points of view: co-works and digital nomads, incubators and entrepreneurs, tech companies, and talent.",Elaine,Clem,,,,,,,,,,,,
6,"Wednesday, December 2",1pm- 1.45pm,Targeted RT,,,Microsoft ,,,Conor,Tom,,,,,,,,,,,,
7,"Wednesday, December 2",1.30pm - 2pm,Pre-recorded Masterclass,,False,AWS,AWS loves startups,"AWS is known for helping startups grow and scale. Join AWS developer advocate Sohan Maheshwar to learn more about how you can benefit from programs specifically designed for startup success, including AWS Activate, AWS Marketplace for SaaS Startups, Amazon Launchpad and the Alexa Fund.",Conor,Elaine,,,,,,,,,,,,
8,"Wednesday, December 2",1.30pm - 2pm,Live Masterclass,True,False,Cloudflare ,Live demo: Set up Zero Trust Access and ditch your VPN,"This masterclass is an end-to-end live demo demonstrating how a fictional company could set up Zero Trust Access in 20 minutes. Cloudflare product director Sam Rhea will walk through every configuration step, from integrating identity sources to securing your first application and testing the experience with contractors and employees.",Aaron,Marie,Karena,,,,,,,WS20_20_780050379_PTH_MTC,Hyperlink to Aaron folder,,,780050379
9,"Wednesday, December 2",1.30pm - 2pm,Live Masterclass,True,False,MDEC,Malaysia: The heart of digital ASEAN,"Malaysia is a prime choice as a regional digital hub for companies looking to tap in to ASEAN’s digital future, thanks to its thriving ecosystem, holistic talent pool, world-class infrastructure and forward-looking digital policies. Join this masterclass to learn why the future of digital is ASEAN and Malaysia. The session will cover ASEAN’s digital economy insights, opportunities in the Malaysian digital economy for tech investors​, and how Malaysia plays a role as the ‘heart of digital ASEAN'.",Rebecca C,Jake,Henry,,,,,,,WS20_60_780050380_PTH_MTC,Hyperlink to Aaron folder,,,780050380
