,FILE NAME,UUID,Omnia UUID,Talk Title,Description,SP1,SP2,SP3,MOD,file_name,id,download_link,project_name
0,E26.2_WS20_710234860_TLK_EDT_V2_FIN,710234860,3588729c-844a-4b07-81e1-7de0f77b5c56,Baobab Studios: The making of Baba Yaga,"Six-time Emmy Award-winning interactive animation studio Baobab Studios is back with a new release for 2020. Baba Yaga will feature the voices of Kate Winslet, Daisy Ridley and Glenn Close. In this talk, hear from co-founder and CEO Maureen Fan as she discusses how they brought this VR and interactive animation experience to life. ",Maureen Fan,,,,E26.1_WS20_710234860_INT_VOG_V1.mp4,ef8d5506-b6f2-4fa4-aa19-60dedaad7f35,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/e4e09681-6920-4d50-a103-44cc91d0d4a3/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22E26.1_WS20_710234860_INT_VOG_V1.mp4%22%3B%20filename%2A%3D%22E26.1_WS20_710234860_INT_VOG_V1.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LUuIMxrKYEHkENEjD&x-amz-meta-resource_id=ef8d5506-b6f2-4fa4-aa19-60dedaad7f35&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T235133Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=b38c422b8292612bdce263784f3b220af818e37911a70cc32ff288d8777916e0,YAL Ingest - NO Touch
1,E26.2_WS20_710234860_TLK_EDT_V2_FIN,710234860,3588729c-844a-4b07-81e1-7de0f77b5c56,Baobab Studios: The making of Baba Yaga,"Six-time Emmy Award-winning interactive animation studio Baobab Studios is back with a new release for 2020. Baba Yaga will feature the voices of Kate Winslet, Daisy Ridley and Glenn Close. In this talk, hear from co-founder and CEO Maureen Fan as she discusses how they brought this VR and interactive animation experience to life. ",Maureen Fan,,,,E26.2_WS20_710234860_TLK_EDT_V2_FIN.mp4,ce715eb8-e742-4383-92e2-b38194e1ce14,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/bf6c9b7e-f0e1-4acf-9a85-57f9e8c6ce07/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22E26.2_WS20_710234860_TLK_EDT_V2_FIN.mp4%22%3B%20filename%2A%3D%22E26.2_WS20_710234860_TLK_EDT_V2_FIN.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LUuIMxrKYEHkENEjD&x-amz-meta-resource_id=ce715eb8-e742-4383-92e2-b38194e1ce14&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T235133Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=7d96d25dd88c6abcab930409d0dd5a715ed89e98f18d8d02028e22d0086a0277,YAL Ingest - NO Touch
2,D22.2_WS20_710234868_TLK_EDT_V2_FIN,710234868,2b6beb49-8e25-43c3-9faa-7c7259553734,In conversation with Bobby Berk,"Bobby Berk rose to fame as the design expert in Netflix's Emmy-winning Queer Eye. He will discuss balancing life in the public eye while growing his lifestyle and design brand, using your platform for activism, and how Covid has impacted design in our homes.",Bobby Berk,,,Elizabeth Wagmeister,D22.1_WS20_710234868_INT_VOG_V1.mp4,5f150097-1bb6-41d8-8d06-521c7bd2a991,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/14204960-15ff-4a6a-87f6-c941bf58f443/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22D22.1_WS20_710234868_INT_VOG_V1.mp4%22%3B%20filename%2A%3D%22D22.1_WS20_710234868_INT_VOG_V1.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LTGgpkOt4wkEET33F&x-amz-meta-resource_id=5f150097-1bb6-41d8-8d06-521c7bd2a991&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T235105Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=5ef037a9937b3342e3b7a9cbcaec2a26f4898f3684f47f513f86aa3c80424d13,YAL Ingest - NO Touch
3,D22.2_WS20_710234868_TLK_EDT_V2_FIN,710234868,2b6beb49-8e25-43c3-9faa-7c7259553734,In conversation with Bobby Berk,"Bobby Berk rose to fame as the design expert in Netflix's Emmy-winning Queer Eye. He will discuss balancing life in the public eye while growing his lifestyle and design brand, using your platform for activism, and how Covid has impacted design in our homes.",Bobby Berk,,,Elizabeth Wagmeister,D22.2_WS20_710234868_TLK_EDT_V2_FIN.mp4,2052a61a-8202-4b22-981e-d1e9bae0b8de,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/27024c72-45ca-474a-bcf6-91e0f7b6d667/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22D22.2_WS20_710234868_TLK_EDT_V2_FIN.mp4%22%3B%20filename%2A%3D%22D22.2_WS20_710234868_TLK_EDT_V2_FIN.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LTGgpkOt4wkEET33F&x-amz-meta-resource_id=2052a61a-8202-4b22-981e-d1e9bae0b8de&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T235105Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=08b17a4398a787d5bdf6d2003614af033c7bacdd73e7584745f4f5fdf09a0023,YAL Ingest - NO Touch
4,B14.2_WS20_710234897_TLK_EDT_V2_FIN,710234897,35def57b-6fa4-49a8-b2f6-206a9a778eb1,From gaming to mainstream,"Five short years ago, Discord started as a better way to talk with friends while playing online games. Today, more than 100 million people from sneakerheads to teachers turn to Discord to talk with their communities and friends. The transformation from a singular use-case to a new identity as a broader communications service has come with the challenges of keeping Discord safe. Jason talks transformation and tells us what's next.",Jason Citron,,,Ina Fried,B14.1_WS20_710234897_INT_VOG_V1.mp4,ece6192a-ed37-44a5-8746-3d0ac09ea50a,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/00b03c88-0983-4e17-9e21-e1154aec4741/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22B14.1_WS20_710234897_INT_VOG_V1.mp4%22%3B%20filename%2A%3D%22B14.1_WS20_710234897_INT_VOG_V1.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LOlo8BGPgs7sEDXeE&x-amz-meta-resource_id=ece6192a-ed37-44a5-8746-3d0ac09ea50a&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T234948Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=8af7a4c4ad2b9572dfc9476fc7e455d59414a74f4a57f17f5a743aa562ad7d03,YAL Ingest - NO Touch
5,B14.2_WS20_710234897_TLK_EDT_V2_FIN,710234897,35def57b-6fa4-49a8-b2f6-206a9a778eb1,From gaming to mainstream,"Five short years ago, Discord started as a better way to talk with friends while playing online games. Today, more than 100 million people from sneakerheads to teachers turn to Discord to talk with their communities and friends. The transformation from a singular use-case to a new identity as a broader communications service has come with the challenges of keeping Discord safe. Jason talks transformation and tells us what's next.",Jason Citron,,,Ina Fried,B14.2_WS20_710234897_TLK_EDT_V2_FIN.mp4,26b5b62a-60ce-4054-88f9-e30cca11f557,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/bf49b572-c948-4ab7-a0c8-f3d05733641a/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22B14.2_WS20_710234897_TLK_EDT_V2_FIN.mp4%22%3B%20filename%2A%3D%22B14.2_WS20_710234897_TLK_EDT_V2_FIN.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LOlo8BGPgs7sEDXeE&x-amz-meta-resource_id=26b5b62a-60ce-4054-88f9-e30cca11f557&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T234949Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=130cd6bf423ea5887dac5ac4100fd048a56640b431f30325379b5bddf431b1fa,YAL Ingest - NO Touch
6,D4.2_WS20_710234910_TLK_EDT_V1_FIN,710234910,5638e8bf-f28d-485b-b409-593e6a700d2c,Transform your business with workspace design,"In the current environment, when change is the only constant, companies must rely on their brand purpose to inform decision-making, inspire change, and successfully navigate the turbulence. It is also vital in guiding employees, helping them work differently, changing behaviours, and embracing new states of normal. But even the best companies can overlook one of their most powerful transformational tools: the workplace. 

Join Jane Geraghty, CEO of LANDOR & FITCH, to explore the six imperatives of workspace design: culture, interaction, function, sustainability, space and technology.",Jane Geraghty,,,,D4.1_WS20_710234910_INT_VOG_V1.mp4,8fd048e7-9424-4654-bac2-855371174934,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/1a9316b8-96ea-4bed-8cfb-066c8f1a401a/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22D4.1_WS20_710234910_INT_VOG_V1.mp4%22%3B%20filename%2A%3D%22D4.1_WS20_710234910_INT_VOG_V1.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LTu4FKv_axZ4ECwcG&x-amz-meta-resource_id=8fd048e7-9424-4654-bac2-855371174934&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T235116Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=b0e3c452929fa47c25a4d2296e2898492c616bde1b16f07e35a9fe99821110ad,YAL Ingest - NO Touch
7,D4.2_WS20_710234910_TLK_EDT_V1_FIN,710234910,5638e8bf-f28d-485b-b409-593e6a700d2c,Transform your business with workspace design,"In the current environment, when change is the only constant, companies must rely on their brand purpose to inform decision-making, inspire change, and successfully navigate the turbulence. It is also vital in guiding employees, helping them work differently, changing behaviours, and embracing new states of normal. But even the best companies can overlook one of their most powerful transformational tools: the workplace. 

Join Jane Geraghty, CEO of LANDOR & FITCH, to explore the six imperatives of workspace design: culture, interaction, function, sustainability, space and technology.",Jane Geraghty,,,,D4.2_WS20_710234910_TLK_EDT_V1_FIN.mp4,04ffc7fc-9093-4197-8a8d-5176bdad5d12,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/e24b2cdd-68f4-43f0-bffb-1723ea4766c7/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22D4.2_WS20_710234910_TLK_EDT_V1_FIN.mp4%22%3B%20filename%2A%3D%22D4.2_WS20_710234910_TLK_EDT_V1_FIN.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LTu4FKv_axZ4ECwcG&x-amz-meta-resource_id=04ffc7fc-9093-4197-8a8d-5176bdad5d12&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T235116Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=132de2f6ef86188fba3aeabefb15859bd5501b573ef539167dd49eece631e2e1,YAL Ingest - NO Touch
8,B24.2_WS20_710234926_TLK_EDT_V2_FIN,710234926,c9ac52d4-57ce-452a-b24c-d2d5f497dc98,Has social media found its soul?,"Social media really came into its own this year, providing us all with some much-needed positivity and connectivity, and – for those on the margins of society – support. In this talk, hear from Tumblr CEO Jeff D'Onofrio a he discusses how 2020 has focused our minds into building and serving online communities, and how a tough year changed our social media landscape for the better. ",Jeff D'Onofrio,,,Alyssa Newcomb,B24.1_WS20_710234926_INT_VOG_V1.mp4,176c16fa-6dee-4aa2-b2ac-198ed35f20cf,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/4445ecb5-2ac8-49ce-af98-aa447a0430e7/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22B24.1_WS20_710234926_INT_VOG_V1.mp4%22%3B%20filename%2A%3D%22B24.1_WS20_710234926_INT_VOG_V1.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LPADk4MnELPQBgPmP&x-amz-meta-resource_id=176c16fa-6dee-4aa2-b2ac-198ed35f20cf&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T234955Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=612297b8c7ce58f38367c7ee976eb88a3fc97d99c162af43abb81019f9ac021e,YAL Ingest - NO Touch
9,B24.2_WS20_710234926_TLK_EDT_V2_FIN,710234926,c9ac52d4-57ce-452a-b24c-d2d5f497dc98,Has social media found its soul?,"Social media really came into its own this year, providing us all with some much-needed positivity and connectivity, and – for those on the margins of society – support. In this talk, hear from Tumblr CEO Jeff D'Onofrio a he discusses how 2020 has focused our minds into building and serving online communities, and how a tough year changed our social media landscape for the better. ",Jeff D'Onofrio,,,Alyssa Newcomb,B24.2_WS20_710234926_TLK_EDT_V2_FIN.mp4,7b378f2e-671f-47bd-923a-5b3de79d5119,https://frameio-uploads-production.s3-accelerate.amazonaws.com/uploads/82a65d06-3214-469b-a88b-92541165c52e/original.mp4?response-content-disposition=attachment%3B%20filename%3D%22B24.2_WS20_710234926_TLK_EDT_V2_FIN.mp4%22%3B%20filename%2A%3D%22B24.2_WS20_710234926_TLK_EDT_V2_FIN.mp4%22&x-amz-meta-project_id=86d3165f-6409-4728-bf5c-1340b692afb3&x-amz-meta-request_id=Fk0LPADk4MnELPQBgPmP&x-amz-meta-resource_id=7b378f2e-671f-47bd-923a-5b3de79d5119&x-amz-meta-resource_type=asset&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAZ5BPIQ3GK7SUUGPX%2F20201202%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20201202T234955Z&X-Amz-Expires=86400&X-Amz-SignedHeaders=host&X-Amz-Signature=7770e319bce3498a30085e973fee30c6fc0b5e1269514c3e7238dd431e7a6907,YAL Ingest - NO Touch
